,"Group name","Demersal trawl + dem seine (t/km²/year)","Beam trawl (t/km²/year)","Sandeel trawl (t/km²/year)","Pelagic trawl (t/km²/year)","Drift and fixed nets (t/km²/year)","Nephrops trawl (t/km²/year)","Gears using hooks (t/km²/year)","Shrimp trawlers (t/km²/year)","Dredges (t/km²/year)","Shellfish (t/km²/year)","Pots (t/km²/year)","Other (t/km²/year)",Total,
49,"Squid & cuttlefish",0.001665998,8.37086E-05,0,0,7.4107E-09,0,0,0,2.91735E-06,0,0,0,0.001752631,
50,"Fish larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,
51,"Carnivorous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,
52,"Herbivorous & Omnivorous zooplankton (copepods)",0,0,0,0,0,0,0,0,0,0,0,0,0,
53,"Gelatinous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,
54,"Large crabs",6.54671E-05,9.18661E-06,0.006422378,0,6.35653E-05,0,2.32861E-06,0,0,0,0.004903741,0,0.01146667,
55,Nephrops,0.007067907,6.97895E-06,4.30702E-06,3.82649E-05,2.43684E-06,0.01094482,0,0,0,0,0,2.87421E-05,0.01809346,
56,"Epifaunal macrobenthos (mobile grazers)",0.001163205,1.96597E-05,0.000538038,0,2.17847E-05,0,4.25888E-07,0,0.002741683,0,0.002150292,0,0.006635088,
57,"Infaunal macrobenthos",0,0,0,0,0,0,0,0,0.07165812,0.01914188,0,0,0.09079999,
58,Shrimp,0.001238112,0.03914452,0.00057464,8.66667E-06,8.59649E-08,0,0,0.002472884,5.88526E-06,0,0,0,0.04344479,
59,"Small mobile epifauna (swarming crustaceans)",0,0,0,0,0,0,0,0,0,0,0,0,0,
60,"Small infauna (polychaetes)",0,0,0,0,0,0,0,0,0,0,0,0,0,
61,"Sessile epifauna",0,0,0,0,0,0,0,0,0.1833397,0.02768487,0,0,0.2110246,
62,Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,"Benthic microflora (incl. Bacteria, protozoa))",0,0,0,0,0,0,0,0,0,0,0,0,0,
64,"Planktonic microflora (incl. Bacteria, protozoa)",0,0,0,0,0,0,0,0,0,0,0,0,0,
65,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,"Detritus - DOM -water column",0,0,0,0,0,0,0,0,0,0,0,0,0,
67,"Detritus - POM - sediment",0,0,0,0,0,0,0,0,0,0,0,0,0,
68,Discards,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,Sum,0.5580662,0.3007744,2.07355,1.001291,0.1157804,0.01752877,0.0009589986,0.002472884,0.2577483,0.04682948,0.007054162,0.5037361,4.885789,
